Workflow,Metric,ExperimentNr,Data,PredictionFor,Target, Estimator,MedianDeviation
EAGER-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-G,0.1605907385249963
EAGER-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-A,0.18813438248179287
EAGER-0,Median Error,0,ALL_DATA,N2,N2,OnlineM,0.2760963105629788
EAGER-0,Median Error,0,ALL_DATA,N2,N2,OnlineP,0.2760963105629788
EAGER-0,Median Error,0,ALL_DATA,N2,N2,Naive,0.6748502922416139
EAGER-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-G,0.13355236734587372
EAGER-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-A,0.1270246020511682
EAGER-1,Median Error,1,ALL_DATA,N2,N2,OnlineM,0.19454807737457047
EAGER-1,Median Error,1,ALL_DATA,N2,N2,OnlineP,0.19454807737457047
EAGER-1,Median Error,1,ALL_DATA,N2,N2,Naive,0.7002601284368777
BACASS-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-G,0.21364981328459243
BACASS-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-A,0.22619909808526692
BACASS-0,Median Error,0,ALL_DATA,N2,N2,OnlineM,0.2597510373443983
BACASS-0,Median Error,0,ALL_DATA,N2,N2,OnlineP,0.2597510373443983
BACASS-0,Median Error,0,ALL_DATA,N2,N2,Naive,0.9029198132059784
BACASS-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-G,0.17463814532648742
BACASS-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-A,0.1755488890314517
BACASS-1,Median Error,1,ALL_DATA,N2,N2,OnlineM,0.16996503295163753
BACASS-1,Median Error,1,ALL_DATA,N2,N2,OnlineP,0.16996503295163753
BACASS-1,Median Error,1,ALL_DATA,N2,N2,Naive,0.38557041411009946
CHIPSEQ-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-G,0.10780427030058923
CHIPSEQ-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-A,0.13210025387578758
CHIPSEQ-0,Median Error,0,ALL_DATA,N2,N2,OnlineM,0.15608710695921724
CHIPSEQ-0,Median Error,0,ALL_DATA,N2,N2,OnlineP,0.15608710695921724
CHIPSEQ-0,Median Error,0,ALL_DATA,N2,N2,Naive,0.6514322855331377
CHIPSEQ-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-G,0.12513088174157888
CHIPSEQ-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-A,0.12203120022579202
CHIPSEQ-1,Median Error,1,ALL_DATA,N2,N2,OnlineM,0.11993575298832884
CHIPSEQ-1,Median Error,1,ALL_DATA,N2,N2,OnlineP,0.11993575298832884
CHIPSEQ-1,Median Error,1,ALL_DATA,N2,N2,Naive,0.6304938462817427
ATACSEQ-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-G,0.14526173791166175
ATACSEQ-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-A,0.16349842752916288
ATACSEQ-0,Median Error,0,ALL_DATA,N2,N2,OnlineM,0.2502711172619407
ATACSEQ-0,Median Error,0,ALL_DATA,N2,N2,OnlineP,0.2502711172619407
ATACSEQ-0,Median Error,0,ALL_DATA,N2,N2,Naive,0.8457041309347626
ATACSEQ-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-G,0.2535708627972036
ATACSEQ-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-A,0.2346475727226761
ATACSEQ-1,Median Error,1,ALL_DATA,N2,N2,OnlineM,0.31746851871598514
ATACSEQ-1,Median Error,1,ALL_DATA,N2,N2,OnlineP,0.31746851871598514
ATACSEQ-1,Median Error,1,ALL_DATA,N2,N2,Naive,0.853028042041519
METHYLSEQ-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-G,0.10243661064231971
METHYLSEQ-0,Median Error,0,ALL_DATA,N2,N2,Lotaru-A,0.14254026958227334
METHYLSEQ-0,Median Error,0,ALL_DATA,N2,N2,OnlineM,0.11858954182379224
METHYLSEQ-0,Median Error,0,ALL_DATA,N2,N2,OnlineP,0.1098695184871977
METHYLSEQ-0,Median Error,0,ALL_DATA,N2,N2,Naive,2.4742471004048583
METHYLSEQ-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-G,0.10716655607166556
METHYLSEQ-1,Median Error,1,ALL_DATA,N2,N2,Lotaru-A,0.10163893325962328
METHYLSEQ-1,Median Error,1,ALL_DATA,N2,N2,OnlineM,0.13587747650527374
METHYLSEQ-1,Median Error,1,ALL_DATA,N2,N2,OnlineP,0.13587747650527374
METHYLSEQ-1,Median Error,1,ALL_DATA,N2,N2,Naive,0.8688082901147681
